STATE,LGA,COMMUNITY,DATE_OF_OCCURRENCE,PERSONS_AFFECTED,DISPLACED_PERSONS,DATE,YEAR,MONTH,SEASON,SEVERITY_RATIO
Nasarawa,Karu,One Man Village,17/9/2022,543,237,2022-09-17,2022.0,9.0,Rainy,0.43646408839779005
Nasarawa,Karu,Karshi,17/9/2022,432,167,2022-09-17,2022.0,9.0,Rainy,0.38657407407407407
Nasarawa,Karu,Pante,17/9/2022,367,274,2022-09-17,2022.0,9.0,Rainy,0.7465940054495913
Nasarawa,Karu,Gitata,17/9/2022,235,179,2022-09-17,2022.0,9.0,Rainy,0.7617021276595745
Nasarawa,Karu,Rafin Kwara,17/9/2022,654,469,2022-09-17,2022.0,9.0,Rainy,0.7171253822629969
Nasarawa,Karu,Taka lafrya,17/9/2022,239,150,2022-09-17,2022.0,9.0,Rainy,0.6276150627615062
Nasarawa,Nasarawa,Guto,18/9/2022,499,326,2022-09-18,2022.0,9.0,Rainy,0.6533066132264529
Nasarawa,Nasarawa,Uwhe,18/9/2022,543,432,2022-09-18,2022.0,9.0,Rainy,0.7955801104972375
Nasarawa,Nasarawa,Adayi,18/9/2022,322,268,2022-09-18,2022.0,9.0,Rainy,0.8322981366459627
Nasarawa,Nasarawa,Liiah,18/9/2022,652,261,2022-09-18,2022.0,9.0,Rainy,0.4003067484662577
Nasarawa,Nasarawa,Abatuku,18/9/2022,559,386,2022-09-18,2022.0,9.0,Rainy,0.6905187835420393
Nasarawa,Nasarawa,Anewa,18/9/2022,389,173,2022-09-18,2022.0,9.0,Rainy,0.44473007712082263
Nasarawa,Nasarawa,Ayele,18/09/2022,581,389,2022-09-18,2022.0,9.0,Rainy,0.6695352839931153
Nasarawa,Wamba,Wamba,16/9/2022,478,365,2022-09-16,2022.0,9.0,Rainy,0.7635983263598326
Nasarawa,Wamba,Kurumi Takwayi,16/9/2022,200,179,2022-09-16,2022.0,9.0,Rainy,0.895
Nasarawa,Wamba,mama,16/9/2022,140,140,2022-09-16,2022.0,9.0,Rainy,1.0
Nasarawa,Wamba,Fari Ruwa,16/9/2022,150,150,2022-09-16,2022.0,9.0,Rainy,1.0
Nasarawa,Wamba,KaduAro,16/9/2022,100,100,2022-09-16,2022.0,9.0,Rainy,1.0
Niger,Agwara,Unspecified,2022-01-07 00:00:00,1949,1949,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Borgu,Unspecified,2022-01-07 00:00:00,4223,4223,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Borgu,Unspecified,2022-01-07 00:00:00,1600,1600,2022-01-07,2022.0,1.0,Dry,1.0
Niger,Bosso,Unspecified,2022-01-07 00:00:00,1624,1624,2022-01-07,2022.0,1.0,Dry,1.0
